k=5, silhouette=0.557172, inertia=2110.56
k=10, silhouette=0.602202, inertia=589.55
k=15, silhouette=0.601988, inertia=393.54
k=20, silhouette=0.616794, inertia=227.82
k=25, silhouette=0.618434, inertia=153.06
k=30, silhouette=0.635913, inertia=113.97
k=35, silhouette=0.669657, inertia=80.50
k=40, silhouette=0.662801, inertia=71.00
k=45, silhouette=0.680130, inertia=53.39
k=50, silhouette=0.690935, inertia=46.15
k=55, silhouette=0.665810, inertia=40.76
k=60, silhouette=0.693885, inertia=35.82
k=65, silhouette=0.694527, inertia=30.98
k=70, silhouette=0.693685, inertia=29.52
k=75, silhouette=0.697114, inertia=26.17
k=80, silhouette=0.723188, inertia=24.88
k=85, silhouette=0.720629, inertia=19.61
k=90, silhouette=0.711374, inertia=20.40
k=95, silhouette=0.687755, inertia=18.08
