epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3828.91,1.42426,3.60035,0.69023,0.77317,0.60867,0.7197,0.49455,1.39707,3.18014,0.72154,0.00202966,0.00202966,0.0687033
2,7630.71,1.44319,3.13366,0.67819,0.77327,0.62315,0.73436,0.49588,1.42695,3.15005,0.72337,0.00397936,0.00397936,0.0373197
3,11657.6,1.56532,3.5305,0.72315,0.76005,0.60572,0.72139,0.47933,1.47618,3.36059,0.75289,0.00584868,0.00584868,0.0058557
4,15897.5,1.58661,3.50443,0.74483,0.76169,0.62093,0.72862,0.49673,1.42485,3.22038,0.74752,0.0057285,0.0057285,0.0057285
5,20243.4,1.50606,3.15366,0.7178,0.78913,0.6394,0.74984,0.51601,1.3803,2.96153,0.7278,0.00560791,0.00560791,0.00560791
6,24382.8,1.46913,2.96007,0.70458,0.79975,0.64484,0.75987,0.5278,1.35744,2.87655,0.72214,0.00548733,0.00548733,0.00548733
7,28537.3,1.45261,2.86731,0.69818,0.80385,0.65679,0.76876,0.53871,1.33954,2.80681,0.71801,0.00536674,0.00536674,0.00536674
8,32753.8,1.42598,2.79461,0.69585,0.80815,0.65688,0.76933,0.53747,1.33609,2.76341,0.71822,0.00524615,0.00524615,0.00524615
9,36784.2,1.41938,2.725,0.6949,0.80726,0.66409,0.77211,0.54088,1.32886,2.74759,0.7176,0.00512556,0.00512556,0.00512556
10,40757.6,1.4076,2.67827,0.69068,0.81026,0.66668,0.77564,0.54522,1.32697,2.71489,0.7184,0.00500498,0.00500498,0.00500498
11,44927.7,1.38612,2.61382,0.68706,0.81236,0.67035,0.78009,0.5508,1.3174,2.6768,0.71449,0.00488439,0.00488439,0.00488439
12,48813,1.39017,2.61141,0.68498,0.81593,0.67025,0.78106,0.55311,1.3138,2.67402,0.71467,0.0047638,0.0047638,0.0047638
13,52476.1,1.37526,2.56654,0.67935,0.81915,0.66904,0.78272,0.55446,1.31019,2.66611,0.71368,0.00464322,0.00464322,0.00464322
14,56132.8,1.37679,2.54327,0.67942,0.81572,0.67236,0.78317,0.55498,1.30847,2.66835,0.71308,0.00452263,0.00452263,0.00452263
15,59743.5,1.37028,2.4976,0.6789,0.81452,0.67374,0.78341,0.55624,1.30752,2.6748,0.71308,0.00440204,0.00440204,0.00440204
16,63249.7,1.35303,2.45392,0.6744,0.81532,0.67152,0.78302,0.5567,1.3052,2.68521,0.71256,0.00428145,0.00428145,0.00428145
17,66719.2,1.35789,2.45625,0.67385,0.81935,0.6702,0.78281,0.55767,1.30372,2.69724,0.71229,0.00416087,0.00416087,0.00416087
18,70287.2,1.34363,2.41118,0.67072,0.81772,0.67139,0.78246,0.5581,1.30357,2.70926,0.71222,0.00404028,0.00404028,0.00404028
19,74479.7,1.33853,2.38957,0.67048,0.81913,0.66917,0.78249,0.55902,1.30256,2.72263,0.71198,0.00391969,0.00391969,0.00391969
20,80161.5,1.32512,2.36371,0.66298,0.81593,0.67003,0.78129,0.55941,1.30176,2.73562,0.71176,0.00379911,0.00379911,0.00379911
21,84599.9,1.31876,2.31962,0.66213,0.81674,0.66996,0.78087,0.55989,1.30027,2.75046,0.71128,0.00367852,0.00367852,0.00367852
22,89080.5,1.30771,2.27949,0.65898,0.81987,0.66704,0.77988,0.56005,1.30042,2.77222,0.7113,0.00355793,0.00355793,0.00355793
23,93277,1.3045,2.26152,0.65584,0.80649,0.67547,0.77944,0.56068,1.30004,2.79121,0.71107,0.00343734,0.00343734,0.00343734
24,97530.8,1.28689,2.22094,0.65199,0.80309,0.67652,0.7788,0.56155,1.29943,2.80757,0.71096,0.00331676,0.00331676,0.00331676
25,101452,1.28284,2.20383,0.65019,0.80881,0.67182,0.77774,0.56197,1.29862,2.82589,0.71082,0.00319617,0.00319617,0.00319617
26,105282,1.27777,2.17147,0.6461,0.81561,0.66787,0.77726,0.56256,1.29891,2.84504,0.71077,0.00307558,0.00307558,0.00307558
27,109093,1.26223,2.12124,0.64258,0.82109,0.66361,0.77662,0.56296,1.29904,2.86635,0.71061,0.00295499,0.00295499,0.00295499
28,113024,1.25738,2.11439,0.63989,0.82665,0.6597,0.77611,0.5634,1.29911,2.8858,0.71064,0.00283441,0.00283441,0.00283441
29,116694,1.24319,2.06966,0.63662,0.83256,0.65587,0.77535,0.56378,1.30036,2.91223,0.71072,0.00271382,0.00271382,0.00271382
30,120401,1.23689,2.04055,0.63319,0.83926,0.64944,0.77382,0.56385,1.30073,2.94368,0.71085,0.00259323,0.00259323,0.00259323
31,124167,1.22434,2.0097,0.62793,0.84623,0.64292,0.77226,0.56375,1.30113,2.97295,0.71095,0.00247265,0.00247265,0.00247265
32,127859,1.21503,1.96432,0.62944,0.85307,0.63788,0.7712,0.56367,1.30185,3.00604,0.71127,0.00235206,0.00235206,0.00235206
33,131606,1.19528,1.92244,0.62367,0.85903,0.63271,0.77003,0.56428,1.3013,3.03495,0.71089,0.00223147,0.00223147,0.00223147
34,134880,1.19122,1.89905,0.61927,0.8641,0.62758,0.7685,0.5644,1.3016,3.06588,0.71086,0.00211088,0.00211088,0.00211088
35,138402,1.18127,1.86096,0.61623,0.86835,0.62176,0.76673,0.56426,1.30183,3.10313,0.71093,0.0019903,0.0019903,0.0019903
36,142523,1.1634,1.82066,0.61064,0.87276,0.61706,0.76539,0.56439,1.30251,3.13646,0.71125,0.00186971,0.00186971,0.00186971
37,146604,1.14278,1.78614,0.60565,0.87725,0.61311,0.76457,0.56415,1.30277,3.16947,0.71163,0.00174912,0.00174912,0.00174912
38,150808,1.13496,1.73514,0.60177,0.88236,0.60733,0.76311,0.56393,1.30299,3.21228,0.71171,0.00162854,0.00162854,0.00162854
39,155917,1.11613,1.68559,0.59681,0.88762,0.60037,0.76096,0.56326,1.304,3.26796,0.71201,0.00150795,0.00150795,0.00150795
40,160860,1.09963,1.63652,0.59132,0.89362,0.59107,0.75781,0.56229,1.305,3.3368,0.71249,0.00138736,0.00138736,0.00138736
41,165603,1.08501,1.60136,0.58347,0.89934,0.58282,0.75509,0.56105,1.30572,3.40783,0.71279,0.00126677,0.00126677,0.00126677
42,170917,1.07201,1.56507,0.58156,0.90367,0.57404,0.75187,0.5601,1.30639,3.48157,0.71327,0.00114619,0.00114619,0.00114619
43,174915,1.04532,1.49982,0.57339,0.90914,0.5623,0.74741,0.55785,1.30736,3.57134,0.71411,0.0010256,0.0010256,0.0010256
44,179627,1.01535,1.43691,0.56713,0.91586,0.55113,0.74355,0.55592,1.30945,3.66191,0.71537,0.000905013,0.000905013,0.000905013
45,184732,0.99991,1.4046,0.56218,0.9219,0.54022,0.73974,0.55399,1.31092,3.75989,0.71614,0.000784426,0.000784426,0.000784426
46,188902,0.97222,1.337,0.55556,0.92563,0.52849,0.73493,0.55156,1.31346,3.87334,0.71762,0.000663838,0.000663838,0.000663838
