epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.407,1.84092,6.78995,1.44484,0.07659,0.27919,0.06897,0.02891,2.33381,22.4682,2.16607,0.0123902,0.0123902,0.0791235
2,1139.5,2.20045,7.11919,1.71499,0.25337,0.31679,0.19497,0.08361,2.35158,10.5687,2.03507,0.0235773,0.0235773,0.0569773
3,1681.46,2.2683,6.82142,1.79898,0.38555,0.29222,0.27337,0.11359,2.32963,10.5362,1.9864,0.0335354,0.0335354,0.033602
4,2221.09,2.16463,6.24414,1.76025,0.35964,0.39535,0.31293,0.14771,2.19226,7.86778,1.93791,0.0317141,0.0317141,0.0317141
5,2746.23,2.02824,5.33161,1.66114,0.51068,0.44367,0.47996,0.26005,2.02792,5.87399,1.80198,0.0298705,0.0298705,0.0298705
6,3287.23,1.94116,4.8883,1.60228,0.57062,0.46391,0.51563,0.27254,2.00328,5.81692,1.74564,0.0280268,0.0280268,0.0280268
7,3848.97,1.84752,4.46017,1.51722,0.58588,0.45584,0.52226,0.28704,1.99013,5.4442,1.7568,0.0261832,0.0261832,0.0261832
8,4357.51,1.77645,4.10592,1.47815,0.63788,0.44355,0.56929,0.33017,1.97806,5.72081,1.72988,0.0243396,0.0243396,0.0243396
9,4919.14,1.74157,3.94366,1.45733,0.64627,0.47353,0.57454,0.32893,1.96171,5.2707,1.74131,0.022496,0.022496,0.022496
10,5507.12,1.66489,3.59355,1.41186,0.70272,0.44861,0.59681,0.35631,1.94886,5.6699,1.70154,0.0206523,0.0206523,0.0206523
11,6102.92,1.63648,3.45417,1.38739,0.6994,0.49898,0.61293,0.36107,1.87353,4.7782,1.6549,0.0188087,0.0188087,0.0188087
12,6684.93,1.58794,3.2692,1.35443,0.63962,0.47841,0.58168,0.34545,1.87304,5.12365,1.67361,0.0169651,0.0169651,0.0169651
13,7283.48,1.53813,3.07244,1.30924,0.66261,0.49176,0.58437,0.33923,1.86209,5.10001,1.66836,0.0151215,0.0151215,0.0151215
14,7872.5,1.46694,2.81344,1.26289,0.68883,0.51452,0.63009,0.38628,1.80427,4.82706,1.60862,0.0132778,0.0132778,0.0132778
15,8441.07,1.39591,2.62481,1.24295,0.68963,0.50548,0.63201,0.39314,1.80921,4.97844,1.60117,0.0114342,0.0114342,0.0114342
16,9034.92,1.34703,2.46376,1.21469,0.72494,0.5103,0.63579,0.39184,1.79908,4.81731,1.60638,0.00959058,0.00959058,0.00959058
17,9694.05,1.29314,2.30995,1.18201,0.7155,0.50211,0.63141,0.39713,1.76581,4.8762,1.58918,0.00774695,0.00774695,0.00774695
18,10286.5,1.21982,2.10103,1.1408,0.74565,0.51257,0.65376,0.42101,1.72618,4.81701,1.57061,0.00590333,0.00590333,0.00590333
19,10871.7,1.11371,1.86943,1.09258,0.74481,0.51223,0.65028,0.41368,1.71175,4.72041,1.57286,0.0040597,0.0040597,0.0040597
20,11512.5,1.09122,1.80822,1.08101,0.73561,0.52837,0.66077,0.4282,1.69935,4.65714,1.56246,0.00221608,0.00221608,0.00221608
