epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,692.806,1.73215,5.04385,1.99189,0.37859,0.37566,0.32108,0.18453,1.91922,5.26645,2.36641,0.00724545,0.00724545,0.0739788
2,1343.69,2.01375,5.06454,2.20804,0.14086,0.34081,0.10577,0.04506,2.24836,22.3193,2.85674,0.0137874,0.0137874,0.0471874
3,1846.11,2.18478,5.303,2.44498,0.38485,0.38103,0.29033,0.1301,2.29848,11.2512,2.78362,0.0196106,0.0196106,0.0196773
4,2341.16,2.17191,4.9739,2.46892,0.53039,0.41874,0.46911,0.2416,2.18349,5.28215,2.68613,0.0185456,0.0185456,0.0185456
5,2829.86,1.97873,4.23849,2.27329,0.54522,0.43461,0.48857,0.26421,2.05008,5.12956,2.51651,0.0174675,0.0174675,0.0174675
6,3317.64,1.88901,3.94772,2.18166,0.62196,0.48414,0.57088,0.32871,1.97247,4.33199,2.44744,0.0163894,0.0163894,0.0163894
7,3804.7,1.80269,3.55134,2.07687,0.65744,0.48568,0.59457,0.34797,1.97088,4.32201,2.4177,0.0153113,0.0153113,0.0153113
8,4289.69,1.69516,3.16128,2.0192,0.65736,0.4722,0.57503,0.34272,1.9236,4.50249,2.36505,0.0142332,0.0142332,0.0142332
9,4786.63,1.64707,2.98587,1.96224,0.6741,0.48341,0.59335,0.35869,1.88046,4.19764,2.33138,0.0131551,0.0131551,0.0131551
10,5280.95,1.56927,2.75227,1.86923,0.68168,0.50644,0.6126,0.37712,1.86715,4.03587,2.3315,0.012077,0.012077,0.012077
11,5762.1,1.50846,2.56165,1.85031,0.67282,0.48588,0.5884,0.36021,1.81979,4.15619,2.29693,0.0109989,0.0109989,0.0109989
12,6257.5,1.44619,2.37567,1.79658,0.71103,0.51241,0.63469,0.40087,1.80095,3.95196,2.27596,0.00992075,0.00992075,0.00992075
13,6765.49,1.36989,2.16012,1.75347,0.7292,0.49773,0.63921,0.40575,1.85348,4.31086,2.30898,0.00884264,0.00884264,0.00884264
14,7270.31,1.31998,2.06771,1.69893,0.72064,0.52327,0.63129,0.38853,1.78465,3.84224,2.28057,0.00776454,0.00776454,0.00776454
15,7764.46,1.26233,1.90939,1.66316,0.73913,0.52172,0.65136,0.41688,1.78178,3.90124,2.26057,0.00668643,0.00668643,0.00668643
16,8272.24,1.21627,1.79279,1.61151,0.72359,0.52826,0.65406,0.42016,1.78903,4.04979,2.26474,0.00560833,0.00560833,0.00560833
17,8767.29,1.13549,1.64853,1.56355,0.74434,0.54069,0.66725,0.43592,1.74188,3.88237,2.24128,0.00453022,0.00453022,0.00453022
18,9272.02,1.06822,1.49006,1.51936,0.74925,0.52629,0.65621,0.4327,1.72094,3.92984,2.20035,0.00345212,0.00345212,0.00345212
19,9802.19,1.02956,1.41909,1.47715,0.75723,0.54463,0.67632,0.44631,1.7091,3.82364,2.20266,0.00237401,0.00237401,0.00237401
20,10324.2,0.9519,1.29529,1.43379,0.78031,0.52303,0.66844,0.44764,1.6999,3.904,2.21208,0.0012959,0.0012959,0.0012959
